Frequency_Hz,PSD_V_P1,PSD_V_P2,PSD_V_P3,PSD_V_P4,PSD_V_P5,PSD_V_P6,PSD_V_P7,PSD_V_P8
2.109375,4.41958589901832e-08,2.83794797677027e-06,8.88348783743119e-06,6.64965163916449e-06,7.676141403543e-06,1.21031500881645e-05,1.22769455972815e-06,2.36851979289873e-10
2.2265625,3.45027588704299e-08,2.03759871650325e-06,9.30858747940546e-06,5.87219827541163e-06,7.73613129778669e-06,1.1707532774787e-05,1.05834961256146e-06,1.86295989386987e-10
2.34375,2.62729597517026e-08,1.54582765678803e-06,6.83150133168749e-06,6.27837754831031e-06,7.26260449437561e-06,8.90651980462773e-06,1.14199276714436e-06,1.69634558604564e-10
2.4609375,2.01242799430707e-08,1.17945952545724e-06,3.90996767566193e-06,7.67170250474567e-06,8.45875910508651e-06,5.89506960200704e-06,1.57504632075578e-06,2.08302854126649e-10
2.578125,1.66009166245402e-08,9.29105237200388e-07,3.14645545766024e-06,8.87327832972139e-06,9.62800126008907e-06,4.53185729217809e-06,2.02299697480746e-06,2.83312330134577e-10
2.6953125,1.43858540281437e-08,7.60469280305426e-07,4.33213427992925e-06,9.70037395239623e-06,8.27322019543086e-06,4.61016165206499e-06,2.02950903373257e-06,3.09358337320805e-10
2.8125,1.19815928354296e-08,6.91600054014283e-07,6.03479938299619e-06,1.12278995561284e-05,5.58456193976961e-06,4.44720103705693e-06,1.65204805367514e-06,2.55040565205755e-10
2.9296875,9.36435260585444e-09,7.21336604845577e-07,6.6730170524013e-06,1.22860048311591e-05,4.04179880054249e-06,3.32882411275099e-06,1.43437158407549e-06,1.96786764373769e-10
3.046875,6.81689922141916e-09,8.12555750451719e-07,5.66525393196185e-06,1.2114449444511e-05,4.18479919101897e-06,2.56229793685168e-06,1.55414044964157e-06,1.84103585001341e-10
3.1640625,4.54748215763786e-09,8.9235158042833e-07,4.74193195254675e-06,1.27259780201609e-05,4.26416899682516e-06,2.92389610655016e-06,1.5404651165405e-06,2.41459560239313e-10
3.28125,3.41606841036053e-09,8.61222994563049e-07,5.29150977869637e-06,1.30182193073954e-05,3.50238555108568e-06,3.90108879593307e-06,1.12901952284601e-06,4.08118994048385e-10
3.3984375,3.8907726672025e-09,7.88521621375086e-07,5.57469385525062e-06,1.03705257330348e-05,3.67084416530387e-06,5.17905595946932e-06,6.69677377536424e-07,6.21005632224787e-10
3.515625,5.01008195467801e-09,7.5454694597832e-07,4.1980754576991e-06,7.56070718569097e-06,5.46514500787547e-06,6.13093511539807e-06,4.67944452867938e-07,7.0990701787958e-10
3.6328125,5.85053314600583e-09,7.89103958602825e-07,2.8629723440981e-06,7.74688748691081e-06,7.01363132388119e-06,6.13021652541086e-06,4.15346896567e-07,5.96650652669658e-10
3.75,6.45390907386126e-09,9.45817184842066e-07,2.66541011022871e-06,8.64878148252037e-06,6.74277599551245e-06,5.42066369575197e-06,3.62169203239247e-07,3.98835931821602e-10
