Frequency_Hz,PSD_U_P1,PSD_U_P2,PSD_U_P3,PSD_U_P4,PSD_U_P5,PSD_U_P6,PSD_U_P7,PSD_U_P8
4.1015625,6.69306202119573e-08,7.70148011867e-08,9.10334275236535e-07,6.93742824906074e-07,7.71959275792453e-07,5.22926135531027e-07,6.01736656555072e-08,2.02767761406714e-10
4.21875,6.6262842715511e-08,7.0736240918887e-08,8.47672585820522e-07,6.29988610502273e-07,7.87076730816703e-07,5.98706658324596e-07,5.02940543221789e-08,2.46107053026136e-10
4.3359375,6.74761279056397e-08,5.83823412166742e-08,8.10770416514666e-07,5.18668873732268e-07,6.64120593001707e-07,7.81854375865793e-07,3.73263794241066e-08,3.21108029583934e-10
4.453125,7.12891450313872e-08,5.04538643091627e-08,9.7566631564964e-07,4.49825849281144e-07,4.46642103606012e-07,9.55356671308857e-07,2.55821756801819e-08,3.02017746950474e-10
4.5703125,7.58240566197032e-08,5.09384335997578e-08,9.57092758346577e-07,4.23072887731243e-07,3.22993215274644e-07,1.01207795473148e-06,2.39151394238522e-08,2.44224658865009e-10
4.6875,7.8512309916645e-08,6.35437610100807e-08,5.85786148774026e-07,3.77581829850384e-07,3.77718125831746e-07,9.57841705278313e-07,4.22754028692948e-08,2.98118927529854e-10
4.8046875,7.9539237783298e-08,9.5296880659046e-08,3.70317716558328e-07,3.19979983193973e-07,4.58762456889265e-07,8.46586162336903e-07,6.09369654119484e-08,4.24924781209396e-10
4.921875,7.93821356691104e-08,1.31211097044289e-07,6.31765169196157e-07,2.93960264364647e-07,4.34992842602433e-07,7.53926850468642e-07,6.09774979555595e-08,4.78123783145289e-10
5.0390625,7.79572546401739e-08,1.43962931405376e-07,1.04721043754336e-06,2.92067455899447e-07,3.72826585739515e-07,7.03406118277942e-07,4.85459625291087e-08,4.27623945517355e-10
5.15625,7.59129553280987e-08,1.40458811587897e-07,1.37713682419969e-06,3.03970339550673e-07,3.64381948576402e-07,6.45863407098354e-07,3.98317631187126e-08,3.42591245144168e-10
5.2734375,7.30072860872815e-08,1.42190897711528e-07,1.6091255110737e-06,3.71317242066976e-07,4.5810203493814e-07,5.59859853061559e-07,4.28739192901717e-08,2.83879310860105e-10
5.390625,6.9163374625092e-08,1.38240683435794e-07,1.46601390467812e-06,4.86500575365032e-07,5.79716621912278e-07,4.92184854501793e-07,4.79612417329407e-08,2.69006019919591e-10
5.5078125,6.59219494074942e-08,1.24557194316666e-07,9.19879735915742e-07,5.15414156779559e-07,5.53571773335916e-07,4.67699439130072e-07,3.86752192596322e-08,2.95397538733628e-10
5.625,6.36756137006976e-08,1.23686815576512e-07,5.1811807417232e-07,4.14150328311603e-07,4.02553463126237e-07,4.9084068387649e-07,1.7278695461657e-08,3.27874338722612e-10
5.7421875,6.15189905643227e-08,1.34146558623465e-07,4.62410081908423e-07,3.92851127203324e-07,2.92277374235922e-07,5.37805943061417e-07,8.75329635678198e-09,2.89077218899754e-10
5.859375,5.96796450366466e-08,1.43515652766907e-07,4.30066258523377e-07,5.60602496196548e-07,2.4421775961521e-07,5.00163868758932e-07,2.70440483515991e-08,1.75699243168574e-10
5.9765625,5.84709931540251e-08,1.56231017689865e-07,3.31275354955184e-07,7.00445126424275e-07,2.16198791994442e-07,3.72554573428654e-07,5.37709443511026e-08,1.1217514278627e-10
6.09375,5.7276887022861e-08,1.63601566203037e-07,3.08993991009093e-07,6.55893852300514e-07,2.38152001713633e-07,2.82603218614128e-07,5.61967492990417e-08,1.74482747224325e-10
6.2109375,5.57012179727625e-08,1.5386885904327e-07,3.46651604300858e-07,4.90141440396674e-07,3.08366702107557e-07,2.7895483002562e-07,3.17422007511656e-08,2.7375732903873e-10
6.328125,5.33287500037076e-08,1.36548150495587e-07,3.98816598296604e-07,3.16766446635448e-07,3.5590733464723e-07,3.30666352246779e-07,2.60176553071419e-08,3.14765728157084e-10
